OPDT,RCOURSECD,RNO,CLOSETM,投票時刻,勝式,投票方式,S,組番１,組番２,組番３,組番４,T,組番５,組番６,組番７,組番８
20210101,7,9,1905,3,３連単,三連単AB,0,1-3=6,1-2=3,1-2=6,1-3=5,1.0,1-3=6,1-3=2,1-6=2,1-3=5
20210101,15,9,1913,3,３連単,三連単AB,0,1-2=4,2-4=6,1-2=6,2-3=4,2.0,2-4=1,2-4=6,2-1=6,2-4=3
20210101,19,10,1916,3,３連単,三連単AB,0,1-3=4,1-4=6,1-3=6,1-2=4,1.0,1-4=3,1-4=6,1-3=6,1-4=2
20210101,20,10,1923,3,３連単,三連単AB,0,1-2=3,1-3=4,1-2=4,1-3=5,1.0,1-3=2,1-3=4,1-2=4,1-3=5
20210101,24,10,1930,3,３連単,三連単AB,0,2-4=5,1-2=4,1-2=5,2-3=4,2.0,2-4=5,2-4=1,2-5=1,2-4=3
20210101,7,10,1937,3,３連単,三連単AB,6,1-3=4,1-3=5,1-4=5,1-2=3,1.0,1-3=4,1-3=5,1-4=5,1-3=2
20210101,15,10,1945,3,３連単,三連単AB,6,1-2=6,1-2=3,2-3=6,1-2=4,2.0,2-1=6,2-1=3,2-6=3,2-1=4
20210101,19,11,1950,3,３連単,三連単AB,0,1-4=5,1-2=4,1-2=5,1-4=6,1.0,1-4=5,1-4=2,1-5=2,1-4=6
20210101,20,11,1958,3,３連単,三連単AB,0,1-4=5,1-2=5,1-2=4,1-3=5,1.0,1-5=4,1-5=2,1-4=2,1-5=3
20210101,24,11,2005,3,３連単,三連単AB,0,1-2=3,1-2=4,1-3=4,1-2=5,1.0,1-2=3,1-2=4,1-3=4,1-2=5
20210101,7,11,2009,3,３連単,三連単AB,0,1-3=4,1-2=3,1-2=4,1-3=5,1.0,1-3=4,1-3=2,1-4=2,1-3=5
20210101,15,11,2014,3,３連単,三連単AB,0,1-2=5,1-5=6,1-2=6,1-3=5,1.0,1-5=2,1-5=6,1-2=6,1-5=3
20210101,19,12,2033,3,３連単,三連単AB,0,1-2=3,1-2=4,1-3=4,1-2=5,1.0,1-2=3,1-2=4,1-3=4,1-2=5
20210101,15,12,2043,3,３連単,三連単AB,0,1-2=3,1-2=5,1-3=5,1-2=4,1.0,1-2=3,1-2=5,1-3=5,1-2=4
20210101,7,12,2045,3,３連単,三連単AB,0,1-2=3,1-2=4,1-3=4,1-2=5,1.0,1-2=3,1-2=4,1-3=4,1-2=5
20210101,20,12,2045,3,３連単,三連単AB,0,1-2=3,1-3=6,1-2=6,1-3=4,1.0,1-3=2,1-3=6,1-2=6,1-3=4
20210101,24,12,2045,3,３連単,三連単AB,0,1-2=3,1-2=5,1-3=5,1-2=6,1.0,1-2=3,1-2=5,1-3=5,1-2=6
